Year,State,Food-at-home sales with taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales with taxes and tips (millions of nominal U.S. dollars),Total food sales with taxes and tips (millions of nominal U.S. dollars),Food-at-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales with taxes and tips (millions of constant U.S. dollars (1988=100))
2006,Massachusetts,"11,529.91","12,810.16","24,340.07","6,912.14","7,988.18","14,900.32"
2007,Massachusetts,"12,062.98","13,546.98","25,609.96","6,960.01","8,105.63","15,065.64"
2008,Massachusetts,"12,788.25","13,925.50","26,713.75","6,947.95","7,973.97","14,921.92"
2009,Massachusetts,"12,924.63","13,928.10","26,852.73","6,953.37","7,712.75","14,666.12"
2010,Massachusetts,"13,600.46","14,729.00","28,329.46","7,248.41","8,031.07","15,279.48"
2011,Massachusetts,"14,619.65","15,665.44","30,285.09","7,470.21","8,337.03","15,807.24"
2012,Massachusetts,"15,141.82","16,626.23","31,768.05","7,530.60","8,617.17","16,147.77"
2013,Massachusetts,"15,385.31","17,437.40","32,822.71","7,588.36","8,887.84","16,476.20"
2014,Massachusetts,"15,739.14","18,815.26","34,554.40","7,632.58","9,383.47","17,016.05"
2015,Massachusetts,"16,084.30","20,350.58","36,434.88","7,693.80","9,918.50","17,612.30"
2016,Massachusetts,"16,112.81","21,674.87","37,787.68","7,811.91","10,290.01","18,101.92"
2017,Massachusetts,"16,227.36","23,220.22","39,447.58","7,855.28","10,770.18","18,625.46"
2018,Massachusetts,"16,806.28","24,206.91","41,013.19","8,036.43","10,926.05","18,962.48"
2019,Massachusetts,"17,393.31","25,232.01","42,625.32","8,251.06","11,071.28","19,322.34"
2020,Massachusetts,"17,950.90","19,732.86","37,683.76","8,233.44","8,356.17","16,589.61"
2021,Massachusetts,"18,538.35","25,111.13","43,649.48","8,307.81","10,150.23","18,458.04"
2022,Massachusetts,"19,904.28","30,094.01","49,998.29","8,100.05","11,380.63","19,480.68"
2023,Massachusetts,"20,305.78","33,768.65","54,074.43","7,886.36","11,949.66","19,836.02"
2024,Massachusetts,"20,764.82","36,069.42","56,834.24","7,992.46","12,230.50","20,222.96"
1997,Michigan,"10,321.73","9,742.70","20,064.43","7,719.50","7,429.91","15,149.41"
1998,Michigan,"10,677.23","10,137.98","20,815.21","7,842.68","7,536.37","15,379.05"
1999,Michigan,"11,396.75","10,507.07","21,903.82","8,198.53","7,618.60","15,817.13"
2000,Michigan,"12,326.20","11,474.25","23,800.45","8,666.74","8,090.99","16,757.73"
2001,Michigan,"12,960.55","11,756.83","24,717.38","8,837.43","8,058.90","16,896.33"
2002,Michigan,"13,089.90","12,348.66","25,438.56","8,857.42","8,286.32","17,143.74"
2003,Michigan,"13,537.30","12,880.63","26,417.93","9,032.71","8,474.48","17,507.19"
2004,Michigan,"14,106.79","13,535.05","27,641.84","9,147.56","8,649.23","17,796.79"
2005,Michigan,"14,632.57","14,243.29","28,875.86","9,289.62","8,801.28","18,090.90"
2006,Michigan,"15,136.68","14,873.14","30,009.82","9,458.37","8,946.65","18,405.02"
2007,Michigan,"15,683.60","15,288.82","30,972.42","9,425.70","8,890.56","18,316.26"
2008,Michigan,"16,148.69","15,356.84","31,505.53","9,121.32","8,525.99","17,647.31"
2009,Michigan,"15,812.87","14,902.06","30,714.93","8,847.70","7,975.78","16,823.48"
2010,Michigan,"16,329.45","15,353.24","31,682.69","9,096.15","8,127.89","17,224.04"
2011,Michigan,"17,033.31","16,075.65","33,108.96","9,062.16","8,301.19","17,363.35"
2012,Michigan,"17,450.46","16,978.04","34,428.50","9,047.06","8,519.37","17,566.43"
2013,Michigan,"18,271.46","17,698.32","35,969.78","9,420.60","8,671.54","18,092.14"
2014,Michigan,"19,047.09","18,810.08","37,857.17","9,582.57","8,968.41","18,550.98"
2015,Michigan,"19,370.89","20,240.83","39,611.72","9,691.93","9,364.43","19,056.36"
2016,Michigan,"19,832.72","21,469.89","41,302.61","10,056.73","9,685.29","19,742.02"
2017,Michigan,"21,067.34","22,735.52","43,802.86","10,721.03","10,087.68","20,808.71"
2018,Michigan,"21,496.66","23,404.86","44,901.52","10,936.32","10,142.18","21,078.50"
2019,Michigan,"21,959.09","24,223.94","46,183.03","11,116.79","10,223.96","21,340.75"
2020,Michigan,"22,677.13","20,702.59","43,379.72","11,158.20","8,520.72","19,678.92"
2021,Michigan,"24,387.78","25,222.11","49,609.89","11,602.05","9,878.34","21,480.39"
2022,Michigan,"27,890.56","29,193.59","57,084.15","11,756.88","10,515.44","22,272.32"
2023,Michigan,"28,773.07","32,101.32","60,874.39","11,527.54","10,825.38","22,352.92"
2024,Michigan,"29,777.21","33,942.48","63,719.69","11,798.17","11,062.11","22,860.28"
1997,Minnesota,"6,359.78","5,287.31","11,647.09","4,756.41","4,032.18","8,788.59"
1998,Minnesota,"6,469.98","5,574.79","12,044.77","4,752.36","4,144.18","8,896.54"
1999,Minnesota,"6,841.89","5,868.48","12,710.37","4,921.89","4,255.19","9,177.08"
2000,Minnesota,"7,147.48","6,326.58","13,474.06","5,025.50","4,461.14","9,486.64"
2001,Minnesota,"7,562.77","6,620.94","14,183.71","5,156.84","4,538.42","9,695.26"
2002,Minnesota,"7,634.13","6,960.56","14,594.69","5,165.72","4,670.75","9,836.47"
2003,Minnesota,"7,881.07","7,333.06","15,214.13","5,258.61","4,824.60","10,083.21"
2004,Minnesota,"8,205.49","7,856.12","16,061.61","5,320.85","5,020.25","10,341.10"
2005,Minnesota,"8,713.96","8,364.04","17,078.00","5,532.14","5,168.35","10,700.49"
2006,Minnesota,"9,042.29","8,745.64","17,787.93","5,650.21","5,260.77","10,910.98"
2007,Minnesota,"9,360.36","9,159.14","18,519.50","5,625.49","5,326.10","10,951.59"
2008,Minnesota,"9,546.66","9,301.90","18,848.56","5,392.27","5,164.34","10,556.61"
2009,Minnesota,"9,344.75","9,226.85","18,571.60","5,228.63","4,938.33","10,166.96"
2010,Minnesota,"9,501.91","9,405.48","18,907.39","5,292.94","4,979.19","10,272.13"
2011,Minnesota,"10,005.99","9,932.31","19,938.30","5,323.44","5,128.88","10,452.32"
2012,Minnesota,"10,446.39","10,391.55","20,837.94","5,415.86","5,214.35","10,630.21"
2013,Minnesota,"11,068.68","10,844.69","21,913.37","5,706.91","5,313.51","11,020.42"
2014,Minnesota,"11,492.31","11,502.85","22,995.16","5,781.77","5,484.42","11,266.19"
2015,Minnesota,"11,645.77","12,443.19","24,088.96","5,826.78","5,756.85","11,583.63"
2016,Minnesota,"12,048.18","13,160.50","25,208.68","6,109.36","5,936.84","12,046.20"
2017,Minnesota,"12,570.31","13,960.81","26,531.12","6,396.95","6,194.36","12,591.31"
2018,Minnesota,"13,116.56","14,473.50","27,590.06","6,672.99","6,271.90","12,944.89"
2019,Minnesota,"13,315.05","14,989.72","28,304.77","6,740.75","6,326.57","13,067.32"
2020,Minnesota,"13,849.57","12,716.40","26,565.97","6,814.63","5,233.78","12,048.41"
2021,Minnesota,"14,734.75","16,244.75","30,979.50","7,009.79","6,362.32","13,372.11"
2022,Minnesota,"15,609.44","18,537.41","34,146.85","6,579.94","6,677.12","13,257.06"
2023,Minnesota,"15,732.26","20,023.98","35,756.24","6,302.91","6,752.59","13,055.50"
2024,Minnesota,"15,996.48","21,038.93","37,035.41","6,338.04","6,856.75","13,194.79"
1997,Mississippi,"2,969.13","2,521.35","5,490.48","2,208.20","1,936.09","4,144.29"
1998,Mississippi,"3,123.16","2,754.15","5,877.31","2,288.86","2,060.56","4,349.42"
1999,Mississippi,"3,412.23","3,012.22","6,424.45","2,461.66","2,199.86","4,661.52"
2000,Mississippi,"3,574.52","3,246.64","6,821.16","2,511.29","2,318.49","4,829.78"
2001,Mississippi,"3,831.91","3,309.78","7,141.69","2,617.30","2,301.80","4,919.10"
2002,Mississippi,"3,987.24","3,563.50","7,550.74","2,688.42","2,423.18","5,111.60"
2003,Mississippi,"4,126.25","3,737.78","7,864.03","2,723.32","2,482.39","5,205.71"
2004,Mississippi,"4,399.64","3,966.06","8,365.70","2,793.61","2,554.98","5,348.59"
2005,Mississippi,"4,663.86","4,107.22","8,771.08","2,902.35","2,571.48","5,473.83"
2006,Mississippi,"4,948.55","4,260.95","9,209.50","3,020.92","2,588.29","5,609.21"
2007,Mississippi,"5,183.39","4,484.75","9,668.14","3,036.91","2,634.25","5,671.16"
2008,Mississippi,"5,429.47","4,637.15","10,066.62","2,980.67","2,603.91","5,584.58"
2009,Mississippi,"5,346.14","4,629.63","9,975.77","2,912.75","2,508.62","5,421.37"
2010,Mississippi,"5,596.62","4,765.16","10,361.78","3,031.37","2,549.56","5,580.93"
2011,Mississippi,"5,852.72","5,014.59","10,867.31","3,015.72","2,624.64","5,640.36"
2012,Mississippi,"6,032.57","5,246.25","11,278.82","3,026.62","2,672.36","5,698.98"
2013,Mississippi,"6,188.83","5,502.82","11,691.65","3,068.55","2,740.15","5,808.70"
2014,Mississippi,"6,406.48","5,837.32","12,243.80","3,100.90","2,839.83","5,940.73"
2015,Mississippi,"6,435.69","6,327.17","12,762.86","3,083.21","2,986.99","6,070.20"
2016,Mississippi,"6,556.24","6,715.59","13,271.83","3,186.23","3,108.23","6,294.46"
2017,Mississippi,"7,094.11","7,090.73","14,184.84","3,455.30","3,217.08","6,672.38"
2018,Mississippi,"7,242.00","7,292.96","14,534.96","3,516.82","3,240.45","6,757.27"
2019,Mississippi,"7,356.69","7,584.83","14,941.52","3,548.09","3,269.62","6,817.71"
2020,Mississippi,"7,692.78","7,108.35","14,801.13","3,584.07","2,982.78","6,566.85"
2021,Mississippi,"8,160.32","8,633.73","16,794.05","3,675.65","3,487.97","7,163.62"
2022,Mississippi,"9,063.34","9,486.34","18,549.68","3,665.32","3,556.08","7,221.40"
2023,Mississippi,"9,035.34","9,998.13","19,033.47","3,468.64","3,499.03","6,967.67"
2024,Mississippi,"9,041.76","10,198.17","19,239.93","3,428.46","3,435.54","6,864.00"
1997,Missouri,"6,751.90","6,259.08","13,010.98","5,049.67","4,773.26","9,822.93"
1998,Missouri,"6,770.50","6,570.92","13,341.42","4,973.10","4,884.69","9,857.79"
1999,Missouri,"7,188.52","6,849.79","14,038.31","5,171.24","4,966.73","10,137.97"
2000,Missouri,"7,598.52","7,280.09","14,878.61","5,342.64","5,133.51","10,476.15"
2001,Missouri,"7,913.31","7,543.53","15,456.84","5,395.87","5,170.82","10,566.69"
2002,Missouri,"8,257.92","7,933.38","16,191.30","5,587.81","5,323.53","10,911.34"
2003,Missouri,"8,819.97","8,331.61","17,151.58","5,885.09","5,481.57","11,366.66"
2004,Missouri,"9,250.01","8,895.59","18,145.60","5,998.18","5,684.50","11,682.68"
2005,Missouri,"9,868.31","9,372.32","19,240.63","6,264.99","5,791.39","12,056.38"
2006,Missouri,"10,368.92","9,956.27","20,325.19","6,479.17","5,989.00","12,468.17"
2007,Missouri,"10,811.10","10,385.41","21,196.51","6,497.37","6,039.19","12,536.56"
2008,Missouri,"11,366.48","10,611.04","21,977.52","6,420.16","5,891.17","12,311.33"
2009,Missouri,"11,265.86","10,592.97","21,858.83","6,303.54","5,669.50","11,973.04"
2010,Missouri,"12,051.71","10,876.00","22,927.71","6,713.28","5,757.67","12,470.95"
2011,Missouri,"12,646.35","11,230.09","23,876.44","6,728.18","5,799.02","12,527.20"
2012,Missouri,"13,171.44","11,717.12","24,888.56","6,828.64","5,879.50","12,708.14"
2013,Missouri,"13,527.75","12,244.33","25,772.08","6,974.79","5,999.28","12,974.07"
2014,Missouri,"14,014.47","13,040.34","27,054.81","7,050.67","6,217.47","13,268.14"
2015,Missouri,"14,231.90","14,153.13","28,385.03","7,120.72","6,547.95","13,668.67"
2016,Missouri,"14,576.34","14,993.46","29,569.80","7,391.33","6,763.71","14,155.04"
2017,Missouri,"15,418.32","15,849.13","31,267.45","7,846.28","7,032.21","14,878.49"
2018,Missouri,"15,678.44","16,361.18","32,039.62","7,976.33","7,089.89","15,066.22"
2019,Missouri,"15,648.36","16,925.61","32,573.97","7,921.98","7,143.63","15,065.61"
2020,Missouri,"16,070.61","15,174.69","31,245.30","7,907.49","6,245.56","14,153.05"
2021,Missouri,"17,001.04","18,097.65","35,098.69","8,087.94","7,088.02","15,175.96"
2022,Missouri,"18,209.41","20,727.82","38,937.23","7,675.92","7,466.10","15,142.02"
2023,Missouri,"18,467.67","22,269.62","40,737.29","7,398.82","7,509.88","14,908.70"
2024,Missouri,"18,802.90","22,929.41","41,732.31","7,449.99","7,472.87","14,922.86"
1997,Montana,"1,262.02",923.67,"2,185.69",902.33,720.89,"1,623.22"
1998,Montana,"1,304.33",956.56,"2,260.89",904.79,727.13,"1,631.92"
1999,Montana,"1,405.94",990.38,"2,396.32",955.9,736.94,"1,692.84"
2000,Montana,"1,450.46","1,062.48","2,512.94",966.42,773.3,"1,739.72"
2001,Montana,"1,480.13","1,096.59","2,576.72",946.63,773.68,"1,720.31"
2002,Montana,"1,514.19","1,163.12","2,677.31",950.65,794.42,"1,745.07"
2003,Montana,"1,583.40","1,229.41","2,812.81",968,823.73,"1,791.73"
2004,Montana,"1,665.63","1,331.18","2,996.81",981.67,865.3,"1,846.97"
2005,Montana,"1,765.92","1,421.69","3,187.61","1,031.38",892.19,"1,923.57"
2006,Montana,"1,848.32","1,498.29","3,346.61","1,066.66",913.46,"1,980.12"
2007,Montana,"1,972.73","1,575.58","3,548.31","1,087.26",927.34,"2,014.60"
2008,Montana,"2,088.13","1,644.12","3,732.25","1,083.99",932.22,"2,016.21"
2009,Montana,"2,070.72","1,613.50","3,684.22","1,082.83",887.22,"1,970.05"
2010,Montana,"2,131.10","1,639.51","3,770.61","1,121.14",891.07,"2,012.21"
2011,Montana,"2,243.13","1,727.46","3,970.59","1,125.09",918.25,"2,043.34"
2012,Montana,"2,324.92","1,832.57","4,157.49","1,145.45",945.21,"2,090.66"
2013,Montana,"2,378.57","1,959.68","4,338.25","1,161.48",989.92,"2,151.40"
2014,Montana,"2,503.34","2,087.25","4,590.59","1,189.21","1,028.94","2,218.15"
2015,Montana,"2,568.81","2,300.96","4,869.77","1,200.19","1,102.59","2,302.78"
2016,Montana,"2,637.14","2,453.52","5,090.66","1,246.43","1,138.34","2,384.77"
2017,Montana,"2,755.03","2,608.62","5,363.65","1,306.19","1,171.89","2,478.08"
2018,Montana,"2,957.42","2,744.76","5,702.18","1,396.04","1,192.42","2,588.46"
2019,Montana,"3,065.58","2,875.34","5,940.92","1,425.38","1,206.26","2,631.64"
2020,Montana,"3,270.89","2,741.18","6,012.07","1,462.52","1,099.61","2,562.13"
2021,Montana,"3,533.99","3,527.99","7,061.98","1,514.12","1,349.44","2,863.56"
2022,Montana,"4,012.52","3,922.85","7,935.37","1,543.16","1,398.58","2,941.74"
2023,Montana,"4,133.83","4,160.12","8,293.95","1,519.49","1,380.33","2,899.82"
2024,Montana,"4,267.16","4,282.36","8,549.52","1,546.86","1,358.09","2,904.95"
1997,Nebraska,"2,261.07","1,626.31","3,887.38","1,691.03","1,240.24","2,931.27"
1998,Nebraska,"2,371.43","1,710.63","4,082.06","1,741.87","1,271.65","3,013.52"
1999,Nebraska,"2,527.59","1,835.45","4,363.04","1,818.29","1,330.87","3,149.16"
2000,Nebraska,"2,653.78","1,984.62","4,638.40","1,865.91","1,399.44","3,265.35"
2001,Nebraska,"2,724.03","2,032.96","4,756.99","1,857.44","1,393.53","3,250.97"
2002,Nebraska,"2,715.22","2,136.44","4,851.66","1,837.28","1,433.61","3,270.89"
2003,Nebraska,"2,841.34","2,284.08","5,125.42","1,895.87","1,502.75","3,398.62"
2004,Nebraska,"3,013.95","2,428.77","5,442.72","1,954.40","1,552.04","3,506.44"
2005,Nebraska,"3,217.71","2,582.90","5,800.61","2,042.79","1,596.03","3,638.82"
2006,Nebraska,"3,374.02","2,726.07","6,100.09","2,108.31","1,639.82","3,748.13"
2007,Nebraska,"3,611.19","2,870.10","6,481.29","2,170.29","1,668.99","3,839.28"
2008,Nebraska,"3,834.58","2,954.83","6,789.41","2,165.90","1,640.50","3,806.40"
2009,Nebraska,"3,769.20","2,997.82","6,767.02","2,108.96","1,604.47","3,713.43"
2010,Nebraska,"3,930.70","3,091.14","7,021.84","2,189.55","1,636.43","3,825.98"
2011,Nebraska,"4,099.27","3,260.18","7,359.45","2,180.92","1,683.50","3,864.42"
2012,Nebraska,"4,223.36","3,437.68","7,661.04","2,189.57","1,724.98","3,914.55"
2013,Nebraska,"4,313.12","3,595.55","7,908.67","2,223.81","1,761.69","3,985.50"
2014,Nebraska,"4,547.91","3,821.95","8,369.86","2,288.05","1,822.26","4,110.31"
2015,Nebraska,"4,628.79","4,099.64","8,728.43","2,315.94","1,896.70","4,212.64"
2016,Nebraska,"4,682.15","4,350.82","9,032.97","2,374.21","1,962.70","4,336.91"
2017,Nebraska,"4,862.65","4,615.47","9,478.12","2,474.57","2,047.87","4,522.44"
2018,Nebraska,"4,934.46","4,787.92","9,722.38","2,510.38","2,074.78","4,585.16"
2019,Nebraska,"4,998.46","4,993.60","9,992.06","2,530.47","2,107.60","4,638.07"
2020,Nebraska,"5,260.18","4,729.49","9,989.67","2,588.25","1,946.55","4,534.80"
2021,Nebraska,"5,670.15","5,965.39","11,635.54","2,697.47","2,336.37","5,033.84"
2022,Nebraska,"6,286.50","6,599.07","12,885.57","2,649.99","2,376.96","5,026.95"
2023,Nebraska,"6,371.43","7,007.73","13,379.16","2,552.62","2,363.18","4,915.80"
2024,Nebraska,"6,477.83","7,229.53","13,707.36","2,566.61","2,356.16","4,922.77"
1997,Nevada,"2,649.23","4,177.43","6,826.66","1,894.17","3,260.30","5,154.47"
1998,Nevada,"2,785.14","4,413.78","7,198.92","1,932.00","3,355.14","5,287.14"
1999,Nevada,"2,994.15","5,032.11","8,026.26","2,035.75","3,744.39","5,780.14"
2000,Nevada,"3,229.90","5,625.06","8,854.96","2,152.03","4,094.06","6,246.09"
2001,Nevada,"3,495.64","5,684.25","9,179.89","2,235.67","4,010.44","6,246.11"
2002,Nevada,"3,685.35","5,831.05","9,516.40","2,313.78","3,982.67","6,296.45"
2003,Nevada,"3,913.47","6,126.30","10,039.77","2,392.48","4,104.76","6,497.24"
2004,Nevada,"4,280.06","6,698.24","10,978.30","2,522.52","4,354.04","6,876.56"
2005,Nevada,"4,707.98","7,204.11","11,912.09","2,749.67","4,520.96","7,270.63"
2006,Nevada,"5,243.19","7,745.51","12,988.70","3,025.82","4,722.20","7,748.02"
2007,Nevada,"5,679.59","8,040.72","13,720.31","3,130.27","4,732.56","7,862.83"
2008,Nevada,"6,005.18","8,327.96","14,333.14","3,117.40","4,721.98","7,839.38"
2009,Nevada,"5,778.93","7,883.54","13,662.47","3,021.95","4,334.94","7,356.89"
2010,Nevada,"5,896.56","8,288.47","14,185.03","3,102.08","4,504.75","7,606.83"
2011,Nevada,"6,099.69","8,922.00","15,021.69","3,059.44","4,742.61","7,802.05"
2012,Nevada,"6,317.17","9,423.15","15,740.32","3,112.37","4,860.31","7,972.68"
2013,Nevada,"6,453.86","10,080.66","16,534.52","3,151.50","5,092.19","8,243.69"
2014,Nevada,"6,782.85","11,011.05","17,793.90","3,222.19","5,428.05","8,650.24"
2015,Nevada,"6,921.00","11,986.26","18,907.26","3,233.62","5,743.68","8,977.30"
2016,Nevada,"6,911.26","12,709.00","19,620.26","3,266.57","5,896.49","9,163.06"
2017,Nevada,"7,129.76","13,427.30","20,557.06","3,380.30","6,032.03","9,412.33"
2018,Nevada,"7,555.48","13,980.78","21,536.26","3,566.55","6,073.75","9,640.30"
2019,Nevada,"7,947.53","14,624.49","22,572.02","3,695.30","6,135.25","9,830.55"
2020,Nevada,"8,786.38","11,840.79","20,627.17","3,928.67","4,749.86","8,678.53"
2021,Nevada,"9,354.05","15,913.26","25,267.31","4,007.70","6,086.74","10,094.44"
2022,Nevada,"10,635.39","19,011.68","29,647.07","4,090.23","6,778.08","10,868.31"
2023,Nevada,"11,128.16","21,534.01","32,662.17","4,090.43","7,144.98","11,235.41"
2024,Nevada,"11,656.24","22,895.84","34,552.08","4,225.42","7,261.11","11,486.53"
1997,New Hampshire,"2,184.63","1,535.83","3,720.46","1,612.72","1,216.35","2,829.07"
1998,New Hampshire,"2,239.92","1,609.97","3,849.89","1,629.28","1,243.89","2,873.17"
1999,New Hampshire,"2,459.11","1,712.43","4,171.54","1,751.25","1,286.10","3,037.35"
2000,New Hampshire,"2,590.66","1,839.85","4,430.51","1,815.60","1,352.86","3,168.46"
2001,New Hampshire,"2,726.38","1,911.50","4,637.88","1,851.82","1,365.05","3,216.87"
2002,New Hampshire,"2,812.80","2,026.77","4,839.57","1,890.02","1,412.26","3,302.28"
2003,New Hampshire,"2,873.80","2,127.13","5,000.93","1,888.36","1,451.78","3,340.14"
2004,New Hampshire,"3,095.55","2,294.81","5,390.36","1,948.02","1,525.05","3,473.07"
2005,New Hampshire,"3,296.60","2,414.54","5,711.14","2,021.10","1,560.31","3,581.41"
2006,New Hampshire,"3,485.94","2,539.90","6,025.84","2,089.81","1,583.83","3,673.64"
2007,New Hampshire,"3,653.37","2,630.33","6,283.70","2,107.89","1,573.82","3,681.71"
2008,New Hampshire,"3,899.94","2,674.94","6,574.88","2,118.87","1,531.72","3,650.59"
2009,New Hampshire,"3,936.73","2,644.28","6,581.01","2,117.94","1,464.28","3,582.22"
2010,New Hampshire,"3,974.72","2,718.21","6,692.93","2,118.34","1,482.12","3,600.46"
2011,New Hampshire,"4,255.61","2,858.47","7,114.08","2,174.49","1,521.26","3,695.75"
2012,New Hampshire,"4,445.78","3,005.11","7,450.89","2,211.06","1,557.51","3,768.57"
2013,New Hampshire,"4,415.38","3,201.14","7,616.52","2,177.76","1,631.62","3,809.38"
2014,New Hampshire,"4,374.53","3,429.35","7,803.88","2,121.40","1,710.27","3,831.67"
2015,New Hampshire,"4,500.17","3,719.03","8,219.20","2,152.62","1,812.59","3,965.21"
2016,New Hampshire,"4,604.89","3,947.25","8,552.14","2,232.57","1,873.93","4,106.50"
2017,New Hampshire,"4,659.35","4,213.90","8,873.25","2,255.48","1,954.52","4,210.00"
2018,New Hampshire,"4,766.28","4,396.58","9,162.86","2,279.14","1,984.44","4,263.58"
2019,New Hampshire,"4,925.44","4,607.55","9,532.99","2,336.53","2,021.70","4,358.23"
2020,New Hampshire,"5,279.58","4,055.44","9,335.02","2,421.56","1,717.34","4,138.90"
2021,New Hampshire,"5,462.20","5,077.44","10,539.64","2,447.84","2,052.36","4,500.20"
2022,New Hampshire,"5,503.61","5,729.03","11,232.64","2,239.69","2,166.54","4,406.23"
2023,New Hampshire,"5,186.97","6,035.36","11,222.33","2,014.52","2,135.72","4,150.24"
2024,New Hampshire,"4,865.94","6,194.39","11,060.33","1,872.92","2,100.41","3,973.33"
1997,New Jersey,"10,439.15","8,870.00","19,309.15","7,706.32","7,024.86","14,731.18"
1998,New Jersey,"10,603.01","9,538.95","20,141.96","7,712.46","7,369.95","15,082.41"
1999,New Jersey,"11,271.44","9,960.84","21,232.28","8,026.94","7,480.99","15,507.93"
2000,New Jersey,"11,614.92","10,414.96","22,029.88","8,140.02","7,658.24","15,798.26"
2001,New Jersey,"12,580.24","10,706.85","23,287.09","8,544.80","7,646.02","16,190.82"
2002,New Jersey,"13,067.83","11,315.86","24,383.69","8,780.76","7,884.92","16,665.68"
2003,New Jersey,"14,285.35","12,265.66","26,551.01","9,386.84","8,371.38","17,758.22"
2004,New Jersey,"14,958.37","12,983.30","27,941.67","9,413.25","8,628.23","18,041.48"
2005,New Jersey,"15,624.10","13,724.28","29,348.38","9,578.92","8,868.86","18,447.78"
2006,New Jersey,"15,975.06","14,679.62","30,654.68","9,576.99","9,153.94","18,730.93"
2007,New Jersey,"17,038.13","15,885.55","32,923.68","9,830.53","9,504.88","19,335.41"
2008,New Jersey,"17,161.26","15,836.60","32,997.86","9,323.83","9,068.30","18,392.13"
2009,New Jersey,"16,946.18","15,894.87","32,841.05","9,116.94","8,801.86","17,918.80"
2010,New Jersey,"17,375.96","16,231.13","33,607.09","9,260.58","8,850.11","18,110.69"
2011,New Jersey,"18,046.87","16,855.95","34,902.82","9,221.42","8,970.61","18,192.03"
2012,New Jersey,"18,486.16","17,670.17","36,156.33","9,193.86","9,158.23","18,352.09"
2013,New Jersey,"18,803.80","18,509.41","37,313.21","9,274.44","9,434.25","18,708.69"
2014,New Jersey,"19,500.80","19,737.94","39,238.74","9,456.77","9,843.62","19,300.39"
2015,New Jersey,"19,679.53","21,200.51","40,880.04","9,413.54","10,332.74","19,746.28"
2016,New Jersey,"19,361.78","22,565.42","41,927.20","9,387.09","10,712.79","20,099.88"
2017,New Jersey,"19,696.33","24,169.00","43,865.33","9,534.53","11,210.25","20,744.78"
2018,New Jersey,"20,184.53","25,275.09","45,459.62","9,651.85","11,408.19","21,060.04"
2019,New Jersey,"20,654.36","26,396.89","47,051.25","9,798.04","11,582.41","21,380.45"
2020,New Jersey,"21,677.07","21,755.40","43,432.47","9,942.50","9,212.65","19,155.15"
2021,New Jersey,"22,661.03","27,960.32","50,621.35","10,155.35","11,301.91","21,457.26"
2022,New Jersey,"25,071.17","33,378.82","58,449.99","10,202.72","12,622.84","22,825.56"
2023,New Jersey,"25,376.70","36,977.61","62,354.31","9,855.80","13,085.21","22,941.01"
2024,New Jersey,"25,752.16","39,322.70","65,074.86","9,912.11","13,333.63","23,245.74"
1997,New Mexico,"2,247.27","1,973.76","4,221.03","1,606.77","1,540.44","3,147.21"
1998,New Mexico,"2,272.21","2,051.16","4,323.37","1,576.19","1,559.19","3,135.38"
1999,New Mexico,"2,293.72","2,140.44","4,434.16","1,559.51","1,592.70","3,152.21"
2000,New Mexico,"2,469.62","2,289.93","4,759.55","1,645.47","1,666.67","3,312.14"
2001,New Mexico,"2,653.47","2,399.56","5,053.03","1,697.05","1,692.98","3,390.03"
2002,New Mexico,"2,748.08","2,538.23","5,286.31","1,725.33","1,733.64","3,458.97"
2003,New Mexico,"2,880.22","2,685.38","5,565.60","1,760.80","1,799.27","3,560.07"
2004,New Mexico,"3,048.11","2,847.22","5,895.33","1,796.45","1,850.77","3,647.22"
2005,New Mexico,"3,147.31","3,006.83","6,154.14","1,838.17","1,886.95","3,725.12"
2006,New Mexico,"3,319.88","3,262.54","6,582.42","1,915.89","1,989.07","3,904.96"
2007,New Mexico,"3,528.73","3,206.78","6,735.51","1,944.84","1,887.42","3,832.26"
2008,New Mexico,"3,843.41","3,247.72","7,091.13","1,995.19","1,841.47","3,836.66"
2009,New Mexico,"3,847.96","3,214.61","7,062.57","2,012.19","1,767.63","3,779.82"
2010,New Mexico,"3,871.22","3,277.87","7,149.09","2,036.58","1,781.51","3,818.09"
2011,New Mexico,"4,053.87","3,448.48","7,502.35","2,033.31","1,833.08","3,866.39"
2012,New Mexico,"4,205.31","3,608.59","7,813.90","2,071.89","1,861.25","3,933.14"
2013,New Mexico,"4,257.00","3,818.60","8,075.60","2,078.75","1,928.94","4,007.69"
2014,New Mexico,"4,392.21","4,112.30","8,504.51","2,086.52","2,027.22","4,113.74"
2015,New Mexico,"4,536.71","4,485.73","9,022.44","2,119.63","2,149.51","4,269.14"
2016,New Mexico,"4,597.68","4,752.70","9,350.38","2,173.07","2,205.07","4,378.14"
2017,New Mexico,"4,719.16","4,994.04","9,713.20","2,237.41","2,243.50","4,480.91"
2018,New Mexico,"4,952.32","5,267.47","10,219.79","2,337.73","2,288.38","4,626.11"
2019,New Mexico,"5,125.59","5,508.68","10,634.27","2,383.21","2,311.00","4,694.21"
2020,New Mexico,"5,521.72","4,904.39","10,426.11","2,468.93","1,967.37","4,436.30"
2021,New Mexico,"5,921.54","6,315.61","12,237.15","2,537.06","2,415.69","4,952.75"
