Commodity,State,Units,Year,Value
Soybean meal,Washington,Million dollars,2004,0
Soybean meal,Washington,Million dollars,2005,0
Soybean meal,Washington,Million dollars,2006,0
Soybean meal,Washington,Million dollars,2007,0
Soybean meal,Washington,Million dollars,2008,0
Soybean meal,Washington,Million dollars,2009,0
Soybean meal,Washington,Million dollars,2010,0
Soybean meal,Washington,Million dollars,2011,0
Soybean meal,Washington,Million dollars,2012,0
Soybean meal,Washington,Million dollars,2013,0
Soybean meal,Washington,Million dollars,2014,0
Soybean meal,Washington,Million dollars,2015,0
Soybean meal,Washington,Million dollars,2016,0
Soybean meal,Washington,Million dollars,2017,0
Soybean meal,Washington,Million dollars,2018,0
Soybean meal,Washington,Million dollars,2019,0
Soybean meal,Washington,Million dollars,2020,0
Soybean meal,Washington,Million dollars,2022,0
Soybean meal,Washington,Million dollars,2023,0
Soybean meal,Washington,Million dollars,2021,0
Soybean meal,West Virginia,Million dollars,2000,0.2177
Soybean meal,West Virginia,Million dollars,2001,0.3968
Soybean meal,West Virginia,Million dollars,2002,0.3006
Soybean meal,West Virginia,Million dollars,2003,0.3876
Soybean meal,West Virginia,Million dollars,2004,0.3659
Soybean meal,West Virginia,Million dollars,2005,0.3704
Soybean meal,West Virginia,Million dollars,2006,0.3891
Soybean meal,West Virginia,Million dollars,2007,0.4501
Soybean meal,West Virginia,Million dollars,2008,0.6333
Soybean meal,West Virginia,Million dollars,2009,0.8294
Soybean meal,West Virginia,Million dollars,2010,0.7373
Soybean meal,West Virginia,Million dollars,2011,0.6605
Soybean meal,West Virginia,Million dollars,2012,1.3613
Soybean meal,West Virginia,Million dollars,2013,1.7525
Soybean meal,West Virginia,Million dollars,2014,1.6995
Soybean meal,West Virginia,Million dollars,2015,1.5551
Soybean meal,West Virginia,Million dollars,2016,1.1848
Soybean meal,West Virginia,Million dollars,2017,1.1945
Soybean meal,West Virginia,Million dollars,2018,1.6205
Soybean meal,West Virginia,Million dollars,2019,0
Soybean meal,West Virginia,Million dollars,2020,0
Soybean meal,West Virginia,Million dollars,2022,0
Soybean meal,West Virginia,Million dollars,2023,0
Soybean meal,West Virginia,Million dollars,2021,0
Soybean meal,Wisconsin,Million dollars,2000,21.713
Soybean meal,Wisconsin,Million dollars,2001,19.4605
Soybean meal,Wisconsin,Million dollars,2002,23.713
Soybean meal,Wisconsin,Million dollars,2003,17.412
Soybean meal,Wisconsin,Million dollars,2004,17.4079
Soybean meal,Wisconsin,Million dollars,2005,22.4326
Soybean meal,Wisconsin,Million dollars,2006,26.8311
Soybean meal,Wisconsin,Million dollars,2007,34.299
Soybean meal,Wisconsin,Million dollars,2008,60.2995
Soybean meal,Wisconsin,Million dollars,2009,60.9037
Soybean meal,Wisconsin,Million dollars,2010,81.3684
Soybean meal,Wisconsin,Million dollars,2011,65.5469
Soybean meal,Wisconsin,Million dollars,2012,118.9176
Soybean meal,Wisconsin,Million dollars,2013,108.2281
Soybean meal,Wisconsin,Million dollars,2014,102.0865
Soybean meal,Wisconsin,Million dollars,2015,105.1038
Soybean meal,Wisconsin,Million dollars,2016,95.8722
Soybean meal,Wisconsin,Million dollars,2017,90.0237
Soybean meal,Wisconsin,Million dollars,2018,120.6075
Soybean meal,Wisconsin,Million dollars,2019,83.8471
Soybean meal,Wisconsin,Million dollars,2020,116.6034
Soybean meal,Wisconsin,Million dollars,2022,154.0597
Soybean meal,Wisconsin,Million dollars,2023,193.7532
Soybean meal,Wisconsin,Million dollars,2021,129.1127
Soybean meal,Wyoming,Million dollars,2000,0
Soybean meal,Wyoming,Million dollars,2001,0
Soybean meal,Wyoming,Million dollars,2002,0
Soybean meal,Wyoming,Million dollars,2003,0
Soybean meal,Wyoming,Million dollars,2004,0
Soybean meal,Wyoming,Million dollars,2005,0
Soybean meal,Wyoming,Million dollars,2006,0
Soybean meal,Wyoming,Million dollars,2007,0
Soybean meal,Wyoming,Million dollars,2008,0
Soybean meal,Wyoming,Million dollars,2009,0
Soybean meal,Wyoming,Million dollars,2010,0
Soybean meal,Wyoming,Million dollars,2011,0
Soybean meal,Wyoming,Million dollars,2012,0
Soybean meal,Wyoming,Million dollars,2013,0
Soybean meal,Wyoming,Million dollars,2014,0
Soybean meal,Wyoming,Million dollars,2015,0
Soybean meal,Wyoming,Million dollars,2016,0
Soybean meal,Wyoming,Million dollars,2017,0
Soybean meal,Wyoming,Million dollars,2018,0
Soybean meal,Wyoming,Million dollars,2019,0
Soybean meal,Wyoming,Million dollars,2020,0
Soybean meal,Wyoming,Million dollars,2022,0
Soybean meal,Wyoming,Million dollars,2023,0
Soybean meal,Wyoming,Million dollars,2021,0
Soybean meal,United States,Million dollars,2000,1276.451
Soybean meal,United States,Million dollars,2001,1494.872
Soybean meal,United States,Million dollars,2002,1344.369
Soybean meal,United States,Million dollars,2003,1273.427
Soybean meal,United States,Million dollars,2004,1303.272
Soybean meal,United States,Million dollars,2005,1488.039
Soybean meal,United States,Million dollars,2006,1666.472
Soybean meal,United States,Million dollars,2007,2164.608
Soybean meal,United States,Million dollars,2008,3200.921
Soybean meal,United States,Million dollars,2009,3500.594
Soybean meal,United States,Million dollars,2010,3515.499
Soybean meal,United States,Million dollars,2011,3218.646
Soybean meal,United States,Million dollars,2012,4891.003
Soybean meal,United States,Million dollars,2013,5439.561
Soybean meal,United States,Million dollars,2014,5498.62
Soybean meal,United States,Million dollars,2015,4795.165
Soybean meal,United States,Million dollars,2016,4084.11
Soybean meal,United States,Million dollars,2017,3896.77
Soybean meal,United States,Million dollars,2018,5098.331
Soybean meal,United States,Million dollars,2019,4359.932
Soybean meal,United States,Million dollars,2020,4722.928
Soybean meal,United States,Million dollars,2022,6128.347
Soybean meal,United States,Million dollars,2023,7343.931
Soybean meal,United States,Million dollars,2021,5612.124
Soybeans,Alabama,Million dollars,2000,5.8803
Soybeans,Alabama,Million dollars,2001,7.9743
Soybeans,Alabama,Million dollars,2002,8.3424
Soybeans,Alabama,Million dollars,2003,15.335
Soybeans,Alabama,Million dollars,2004,15.801
Soybeans,Alabama,Million dollars,2005,10.3724
Soybeans,Alabama,Million dollars,2006,7.6132
Soybeans,Alabama,Million dollars,2007,11.8586
Soybeans,Alabama,Million dollars,2008,41.3648
Soybeans,Alabama,Million dollars,2009,82.1534
Soybeans,Alabama,Million dollars,2010,76.3389
Soybeans,Alabama,Million dollars,2011,50.663
Soybeans,Alabama,Million dollars,2012,101.2503
Soybeans,Alabama,Million dollars,2013,119.6088
Soybeans,Alabama,Million dollars,2014,117.2533
Soybeans,Alabama,Million dollars,2015,95.1291
Soybeans,Alabama,Million dollars,2016,92.216
Soybeans,Alabama,Million dollars,2017,74.2996
Soybeans,Alabama,Million dollars,2018,56.7016
Soybeans,Alabama,Million dollars,2019,54.9983
Soybeans,Alabama,Million dollars,2020,77.5829
Soybeans,Alabama,Million dollars,2022,109.732
Soybeans,Alabama,Million dollars,2023,92.8637
Soybeans,Alabama,Million dollars,2021,83.9584
Soybeans,Alaska,Million dollars,2000,0
Soybeans,Alaska,Million dollars,2001,0
Soybeans,Alaska,Million dollars,2002,0
Soybeans,Alaska,Million dollars,2003,0
Soybeans,Alaska,Million dollars,2004,0
Soybeans,Alaska,Million dollars,2005,0
Soybeans,Alaska,Million dollars,2006,0
Soybeans,Alaska,Million dollars,2007,0
Soybeans,Alaska,Million dollars,2008,0
Soybeans,Alaska,Million dollars,2009,0
Soybeans,Alaska,Million dollars,2010,0
Soybeans,Alaska,Million dollars,2011,0
Soybeans,Alaska,Million dollars,2012,0
Soybeans,Alaska,Million dollars,2013,0
Soybeans,Alaska,Million dollars,2014,0
Soybeans,Alaska,Million dollars,2015,0
Soybeans,Alaska,Million dollars,2016,0
Soybeans,Alaska,Million dollars,2017,0
Soybeans,Alaska,Million dollars,2018,0
Soybeans,Alaska,Million dollars,2019,0
Soybeans,Alaska,Million dollars,2020,0
Soybeans,Alaska,Million dollars,2022,0
Soybeans,Alaska,Million dollars,2023,0
Soybeans,Alaska,Million dollars,2021,0
Soybeans,Arizona,Million dollars,2000,0
Soybeans,Arizona,Million dollars,2001,0
Soybeans,Arizona,Million dollars,2002,0
Soybeans,Arizona,Million dollars,2003,0
Soybeans,Arizona,Million dollars,2004,0
Soybeans,Arizona,Million dollars,2005,0
Soybeans,Arizona,Million dollars,2006,0
Soybeans,Arizona,Million dollars,2007,0
Soybeans,Arizona,Million dollars,2008,0
Soybeans,Arizona,Million dollars,2009,0
Soybeans,Arizona,Million dollars,2010,0
Soybeans,Arizona,Million dollars,2011,0
Soybeans,Arizona,Million dollars,2012,0
Soybeans,Arizona,Million dollars,2013,0
Soybeans,Arizona,Million dollars,2014,0
Soybeans,Arizona,Million dollars,2015,0
Soybeans,Arizona,Million dollars,2016,0
Soybeans,Arizona,Million dollars,2017,0
Soybeans,Arizona,Million dollars,2018,0
Soybeans,Arizona,Million dollars,2019,0
Soybeans,Arizona,Million dollars,2020,0
Soybeans,Arizona,Million dollars,2022,0
Soybeans,Arizona,Million dollars,2023,0
Soybeans,Arizona,Million dollars,2021,0
Soybeans,Arkansas,Million dollars,2000,165.9543
Soybeans,Arkansas,Million dollars,2001,179.6075
Soybeans,Arkansas,Million dollars,2002,210.2783
Soybeans,Arkansas,Million dollars,2003,306.1675
Soybeans,Arkansas,Million dollars,2004,290.8306
Soybeans,Arkansas,Million dollars,2005,246.5361
Soybeans,Arkansas,Million dollars,2006,256.3384
Soybeans,Arkansas,Million dollars,2007,331.7673
Soybeans,Arkansas,Million dollars,2008,666.5981
Soybeans,Arkansas,Million dollars,2009,628.0833
Soybeans,Arkansas,Million dollars,2010,677.2431
Soybeans,Arkansas,Million dollars,2011,678.254
Soybeans,Arkansas,Million dollars,2012,1166.2245
Soybeans,Arkansas,Million dollars,2013,951.6049
Soybeans,Arkansas,Million dollars,2014,996.2067
Soybeans,Arkansas,Million dollars,2015,785.442
Soybeans,Arkansas,Million dollars,2016,865.4484
Soybeans,Arkansas,Million dollars,2017,870.5859
Soybeans,Arkansas,Million dollars,2018,625.474
Soybeans,Arkansas,Million dollars,2019,657.2119
Soybeans,Arkansas,Million dollars,2020,962.5764
Soybeans,Arkansas,Million dollars,2022,1344.5239
Soybeans,Arkansas,Million dollars,2023,1088.381
Soybeans,Arkansas,Million dollars,2021,913.1219
Soybeans,California,Million dollars,2000,0
Soybeans,California,Million dollars,2001,0
Soybeans,California,Million dollars,2002,0
Soybeans,California,Million dollars,2003,0
Soybeans,California,Million dollars,2004,0
Soybeans,California,Million dollars,2005,0
Soybeans,California,Million dollars,2006,0
Soybeans,California,Million dollars,2007,0
Soybeans,California,Million dollars,2008,0
Soybeans,California,Million dollars,2009,0
Soybeans,California,Million dollars,2010,0
Soybeans,California,Million dollars,2011,0
Soybeans,California,Million dollars,2012,0
Soybeans,California,Million dollars,2013,0
Soybeans,California,Million dollars,2014,0
Soybeans,California,Million dollars,2015,0
Soybeans,California,Million dollars,2016,0
Soybeans,California,Million dollars,2017,0
Soybeans,California,Million dollars,2018,0
Soybeans,California,Million dollars,2019,0
Soybeans,California,Million dollars,2020,0
Soybeans,California,Million dollars,2022,0
Soybeans,California,Million dollars,2023,0
Soybeans,California,Million dollars,2021,0
Soybeans,Colorado,Million dollars,2000,0
Soybeans,Colorado,Million dollars,2001,0
Soybeans,Colorado,Million dollars,2002,0
Soybeans,Colorado,Million dollars,2003,0
Soybeans,Colorado,Million dollars,2004,0
Soybeans,Colorado,Million dollars,2005,0
Soybeans,Colorado,Million dollars,2006,0
Soybeans,Colorado,Million dollars,2007,0
Soybeans,Colorado,Million dollars,2008,0
Soybeans,Colorado,Million dollars,2009,0
Soybeans,Colorado,Million dollars,2010,0
Soybeans,Colorado,Million dollars,2011,0
Soybeans,Colorado,Million dollars,2012,0
Soybeans,Colorado,Million dollars,2013,0
Soybeans,Colorado,Million dollars,2014,0
Soybeans,Colorado,Million dollars,2015,0
Soybeans,Colorado,Million dollars,2016,0
Soybeans,Colorado,Million dollars,2017,0
Soybeans,Colorado,Million dollars,2018,0
Soybeans,Colorado,Million dollars,2019,0
Soybeans,Colorado,Million dollars,2020,0
Soybeans,Colorado,Million dollars,2022,0
Soybeans,Colorado,Million dollars,2023,0
Soybeans,Colorado,Million dollars,2021,0
Soybeans,Connecticut,Million dollars,2000,0
Soybeans,Connecticut,Million dollars,2001,0
Soybeans,Connecticut,Million dollars,2002,0
Soybeans,Connecticut,Million dollars,2003,0
Soybeans,Connecticut,Million dollars,2004,0
Soybeans,Connecticut,Million dollars,2005,0
Soybeans,Connecticut,Million dollars,2006,0
Soybeans,Connecticut,Million dollars,2007,0
Soybeans,Connecticut,Million dollars,2008,0
Soybeans,Connecticut,Million dollars,2009,0
Soybeans,Connecticut,Million dollars,2010,0
Soybeans,Connecticut,Million dollars,2011,0
Soybeans,Connecticut,Million dollars,2012,0
Soybeans,Connecticut,Million dollars,2013,0
Soybeans,Connecticut,Million dollars,2014,0
Soybeans,Connecticut,Million dollars,2015,0
Soybeans,Connecticut,Million dollars,2016,0
Soybeans,Connecticut,Million dollars,2017,0
Soybeans,Connecticut,Million dollars,2018,0
Soybeans,Connecticut,Million dollars,2019,0
Soybeans,Connecticut,Million dollars,2020,0
Soybeans,Connecticut,Million dollars,2022,0
Soybeans,Connecticut,Million dollars,2023,0
Soybeans,Connecticut,Million dollars,2021,0
Soybeans,Delaware,Million dollars,2000,15.2695
Soybeans,Delaware,Million dollars,2001,14.4222
Soybeans,Delaware,Million dollars,2002,10.1669
Soybeans,Delaware,Million dollars,2003,16.2118
Soybeans,Delaware,Million dollars,2004,18.4036
Soybeans,Delaware,Million dollars,2005,10.2037
Soybeans,Delaware,Million dollars,2006,11.9001
Soybeans,Delaware,Million dollars,2007,15.0328
Soybeans,Delaware,Million dollars,2008,24.6395
Soybeans,Delaware,Million dollars,2009,32.7262
Soybeans,Delaware,Million dollars,2010,38.5277
Soybeans,Delaware,Million dollars,2011,32.919
Soybeans,Delaware,Million dollars,2012,52.8981
Soybeans,Delaware,Million dollars,2013,45.5595
Soybeans,Delaware,Million dollars,2014,43.6148
Soybeans,Delaware,Million dollars,2015,36.7131
Soybeans,Delaware,Million dollars,2016,37.408
Soybeans,Delaware,Million dollars,2017,35.7805
Soybeans,Delaware,Million dollars,2018,27.84
Soybeans,Delaware,Million dollars,2019,31.3755
Soybeans,Delaware,Million dollars,2020,50.063
Soybeans,Delaware,Million dollars,2022,55.6163
Soybeans,Delaware,Million dollars,2023,40.1055
Soybeans,Delaware,Million dollars,2021,49.5633
Soybeans,Florida,Million dollars,2000,0.8223
Soybeans,Florida,Million dollars,2001,0.5229
Soybeans,Florida,Million dollars,2002,0.5855
Soybeans,Florida,Million dollars,2003,0.9804
Soybeans,Florida,Million dollars,2004,1.2786
Soybeans,Florida,Million dollars,2005,0.7305
Soybeans,Florida,Million dollars,2006,0.3814
Soybeans,Florida,Million dollars,2007,0.7846
Soybeans,Florida,Million dollars,2008,2.2166
Soybeans,Florida,Million dollars,2009,4.3982
Soybeans,Florida,Million dollars,2010,4.1669
Soybeans,Florida,Million dollars,2011,2.5225
Soybeans,Florida,Million dollars,2012,4.6493
Soybeans,Florida,Million dollars,2013,6.6332
Soybeans,Florida,Million dollars,2014,7.8111
Soybeans,Florida,Million dollars,2015,5.9483
Soybeans,Florida,Million dollars,2016,5.4311
Soybeans,Florida,Million dollars,2017,3.3341
Soybeans,Florida,Million dollars,2018,1.6861
Soybeans,Florida,Million dollars,2019,0
Soybeans,Florida,Million dollars,2020,0
Soybeans,Florida,Million dollars,2022,0
Soybeans,Florida,Million dollars,2023,0
Soybeans,Florida,Million dollars,2021,0
Soybeans,Georgia,Million dollars,2000,8.8314
Soybeans,Georgia,Million dollars,2001,7.5386
Soybeans,Georgia,Million dollars,2002,7.2535
Soybeans,Georgia,Million dollars,2003,16.9286
Soybeans,Georgia,Million dollars,2004,18.1858
Soybeans,Georgia,Million dollars,2005,10.1481
Soybeans,Georgia,Million dollars,2006,8.1812
Soybeans,Georgia,Million dollars,2007,29.8273
Soybeans,Georgia,Million dollars,2008,56.3359
Soybeans,Georgia,Million dollars,2009,75.047
Soybeans,Georgia,Million dollars,2010,63.7655
Soybeans,Georgia,Million dollars,2011,25.8041
Soybeans,Georgia,Million dollars,2012,46.0345
Soybeans,Georgia,Million dollars,2013,62.4776
Soybeans,Georgia,Million dollars,2014,67.342
Soybeans,Georgia,Million dollars,2015,63.4593
Soybeans,Georgia,Million dollars,2016,58.5363
Soybeans,Georgia,Million dollars,2017,34.5986
Soybeans,Georgia,Million dollars,2018,21.621
Soybeans,Georgia,Million dollars,2019,17.4603
Soybeans,Georgia,Million dollars,2020,26.4901
Soybeans,Georgia,Million dollars,2022,50.5867
Soybeans,Georgia,Million dollars,2023,42.0784
Soybeans,Georgia,Million dollars,2021,36.3415
Soybeans,Hawaii,Million dollars,2000,0
Soybeans,Hawaii,Million dollars,2001,0
Soybeans,Hawaii,Million dollars,2002,0
Soybeans,Hawaii,Million dollars,2003,0
Soybeans,Hawaii,Million dollars,2004,0
Soybeans,Hawaii,Million dollars,2005,0
Soybeans,Hawaii,Million dollars,2006,0
Soybeans,Hawaii,Million dollars,2007,0
Soybeans,Hawaii,Million dollars,2008,0
Soybeans,Hawaii,Million dollars,2009,0
Soybeans,Hawaii,Million dollars,2010,0
Soybeans,Hawaii,Million dollars,2011,0
Soybeans,Hawaii,Million dollars,2012,0
Soybeans,Hawaii,Million dollars,2013,0
Soybeans,Hawaii,Million dollars,2014,0
Soybeans,Hawaii,Million dollars,2015,0
Soybeans,Hawaii,Million dollars,2016,0
Soybeans,Hawaii,Million dollars,2017,0
Soybeans,Hawaii,Million dollars,2018,0
Soybeans,Hawaii,Million dollars,2019,0
Soybeans,Hawaii,Million dollars,2020,0
Soybeans,Hawaii,Million dollars,2022,0
Soybeans,Hawaii,Million dollars,2023,0
Soybeans,Hawaii,Million dollars,2021,0
Soybeans,Idaho,Million dollars,2000,0
Soybeans,Idaho,Million dollars,2001,0
Soybeans,Idaho,Million dollars,2002,0
Soybeans,Idaho,Million dollars,2003,0
Soybeans,Idaho,Million dollars,2004,0
Soybeans,Idaho,Million dollars,2005,0
Soybeans,Idaho,Million dollars,2006,0
Soybeans,Idaho,Million dollars,2007,0
Soybeans,Idaho,Million dollars,2008,0
Soybeans,Idaho,Million dollars,2009,0
Soybeans,Idaho,Million dollars,2010,0
Soybeans,Idaho,Million dollars,2011,0
Soybeans,Idaho,Million dollars,2012,0
Soybeans,Idaho,Million dollars,2013,0
Soybeans,Idaho,Million dollars,2014,0
Soybeans,Idaho,Million dollars,2015,0
Soybeans,Idaho,Million dollars,2016,0
Soybeans,Idaho,Million dollars,2017,0
Soybeans,Idaho,Million dollars,2018,0
Soybeans,Idaho,Million dollars,2019,0
Soybeans,Idaho,Million dollars,2020,0
Soybeans,Idaho,Million dollars,2022,0
Soybeans,Idaho,Million dollars,2023,0
Soybeans,Idaho,Million dollars,2021,0
Soybeans,Illinois,Million dollars,2000,908.2669
Soybeans,Illinois,Million dollars,2001,939.2447
Soybeans,Illinois,Million dollars,2002,960.9633
Soybeans,Illinois,Million dollars,2003,1270.6675
Soybeans,Illinois,Million dollars,2004,1071.4648
Soybeans,Illinois,Million dollars,2005,986.0897
Soybeans,Illinois,Million dollars,2006,997.9438
Soybeans,Illinois,Million dollars,2007,1549.7853
Soybeans,Illinois,Million dollars,2008,2063.4515
Soybeans,Illinois,Million dollars,2009,2333.8575
Soybeans,Illinois,Million dollars,2010,2637.352
Soybeans,Illinois,Million dollars,2011,2567.3171
Soybeans,Illinois,Million dollars,2012,3438.452
Soybeans,Illinois,Million dollars,2013,2759.764
Soybeans,Illinois,Million dollars,2014,3395.3576
Soybeans,Illinois,Million dollars,2015,2709.2891
Soybeans,Illinois,Million dollars,2016,3120.4533
Soybeans,Illinois,Million dollars,2017,3031.8419
Soybeans,Illinois,Million dollars,2018,2632.382
Soybeans,Illinois,Million dollars,2019,3003.4014
Soybeans,Illinois,Million dollars,2020,3549.8073
Soybeans,Illinois,Million dollars,2022,5353.0758
Soybeans,Illinois,Million dollars,2023,4505.1672
Soybeans,Illinois,Million dollars,2021,3917.543
Soybeans,Indiana,Million dollars,2000,484.5445
Soybeans,Indiana,Million dollars,2001,552.6402
Soybeans,Indiana,Million dollars,2002,516.6833
Soybeans,Indiana,Million dollars,2003,611.3924
Soybeans,Indiana,Million dollars,2004,679.0455
Soybeans,Indiana,Million dollars,2005,502.6845
Soybeans,Indiana,Million dollars,2006,654.742
Soybeans,Indiana,Million dollars,2007,893.8485
Soybeans,Indiana,Million dollars,2008,1270.6645
Soybeans,Indiana,Million dollars,2009,1371.3205
Soybeans,Indiana,Million dollars,2010,1572.3665
Soybeans,Indiana,Million dollars,2011,1472.8511
Soybeans,Indiana,Million dollars,2012,1994.4094
Soybeans,Indiana,Million dollars,2013,1652.6341
Soybeans,Indiana,Million dollars,2014,2011.1348
Soybeans,Indiana,Million dollars,2015,1505.9217
Soybeans,Indiana,Million dollars,2016,1669.8833
Soybeans,Indiana,Million dollars,2017,1648.6404
Soybeans,Indiana,Million dollars,2018,1311.3028
Soybeans,Indiana,Million dollars,2019,1541.1254
Soybeans,Indiana,Million dollars,2020,2014.1469
Soybeans,Indiana,Million dollars,2022,2650.5355
Soybeans,Indiana,Million dollars,2023,2187.3815
Soybeans,Indiana,Million dollars,2021,2232.4355
Soybeans,Iowa,Million dollars,2000,917.7587
Soybeans,Iowa,Million dollars,2001,866.5526
Soybeans,Iowa,Million dollars,2002,964.9078
Soybeans,Iowa,Million dollars,2003,1306.1629
Soybeans,Iowa,Million dollars,2004,1059.8122
Soybeans,Iowa,Million dollars,2005,1029.0679
Soybeans,Iowa,Million dollars,2006,1131.5211
Soybeans,Iowa,Million dollars,2007,1652.1975
Soybeans,Iowa,Million dollars,2008,2551.2049
Soybeans,Iowa,Million dollars,2009,2581.6635
Soybeans,Iowa,Million dollars,2010,2905.946
Soybeans,Iowa,Million dollars,2011,2603.2118
Soybeans,Iowa,Million dollars,2012,3613.929
Soybeans,Iowa,Million dollars,2013,2908.1948
Soybeans,Iowa,Million dollars,2014,3090.703
Soybeans,Iowa,Million dollars,2015,2459.174
Soybeans,Iowa,Million dollars,2016,3239.9758
Soybeans,Iowa,Million dollars,2017,2750.6671
Soybeans,Iowa,Million dollars,2018,2174.6345
Soybeans,Iowa,Million dollars,2019,2363.2466
Soybeans,Iowa,Million dollars,2020,3284.3721
Soybeans,Iowa,Million dollars,2022,4868.9569
Soybeans,Iowa,Million dollars,2023,3598.9508
Soybeans,Iowa,Million dollars,2021,3705.6133
Soybeans,Kansas,Million dollars,2000,111.0159
Soybeans,Kansas,Million dollars,2001,138.2783
Soybeans,Kansas,Million dollars,2002,136.8766
Soybeans,Kansas,Million dollars,2003,178.8455
Soybeans,Kansas,Million dollars,2004,196.5117
Soybeans,Kansas,Million dollars,2005,218.1938
Soybeans,Kansas,Million dollars,2006,211.7127
Soybeans,Kansas,Million dollars,2007,367.554
Soybeans,Kansas,Million dollars,2008,201.9899
Soybeans,Kansas,Million dollars,2009,280.5995
Soybeans,Kansas,Million dollars,2010,333.142
Soybeans,Kansas,Million dollars,2011,310.9636
Soybeans,Kansas,Million dollars,2012,401.5974
Soybeans,Kansas,Million dollars,2013,514.3346
Soybeans,Kansas,Million dollars,2014,557.1966
Soybeans,Kansas,Million dollars,2015,625.1462
Soybeans,Kansas,Million dollars,2016,1000.1085
Soybeans,Kansas,Million dollars,2017,896.9038
Soybeans,Kansas,Million dollars,2018,722.054
Soybeans,Kansas,Million dollars,2019,881.0361
Soybeans,Kansas,Million dollars,2020,1260.235
Soybeans,Kansas,Million dollars,2022,1162.8227
Soybeans,Kansas,Million dollars,2023,754.8476
Soybeans,Kansas,Million dollars,2021,1185.1428
Soybeans,Kentucky,Million dollars,2000,62.304
Soybeans,Kentucky,Million dollars,2001,92.6564
Soybeans,Kentucky,Million dollars,2002,106.8738
Soybeans,Kentucky,Million dollars,2003,126.9092
Soybeans,Kentucky,Million dollars,2004,140.8642
Soybeans,Kentucky,Million dollars,2005,122.3914
Soybeans,Kentucky,Million dollars,2006,130.359
Soybeans,Kentucky,Million dollars,2007,167.6735
Soybeans,Kentucky,Million dollars,2008,201.9899
Soybeans,Kentucky,Million dollars,2009,280.5995
Soybeans,Kentucky,Million dollars,2010,333.142
Soybeans,Kentucky,Million dollars,2011,310.9636
Soybeans,Kentucky,Million dollars,2012,401.5974
Soybeans,Kentucky,Million dollars,2013,514.3346
Soybeans,Kentucky,Million dollars,2014,557.1966
Soybeans,Kentucky,Million dollars,2015,449.0251
Soybeans,Kentucky,Million dollars,2016,481.4434
Soybeans,Kentucky,Million dollars,2017,458.5812
Soybeans,Kentucky,Million dollars,2018,416.1074
Soybeans,Kentucky,Million dollars,2019,423.7628
Soybeans,Kentucky,Million dollars,2020,535.2541
Soybeans,Kentucky,Million dollars,2022,735.8928
Soybeans,Kentucky,Million dollars,2023,700.9701
Soybeans,Kentucky,Million dollars,2021,644.6054
Soybeans,Louisiana,Million dollars,2000,45.7024
Soybeans,Louisiana,Million dollars,2001,40.8724
Soybeans,Louisiana,Million dollars,2002,47.3469
Soybeans,Louisiana,Million dollars,2003,75.7519
Soybeans,Louisiana,Million dollars,2004,78.4303
Soybeans,Louisiana,Million dollars,2005,62.2376
Soybeans,Louisiana,Million dollars,2006,67.403
Soybeans,Louisiana,Million dollars,2007,86.185
Soybeans,Louisiana,Million dollars,2008,155.4279
Soybeans,Louisiana,Million dollars,2009,188.0379
Soybeans,Louisiana,Million dollars,2010,253.6847
Soybeans,Louisiana,Million dollars,2011,205.877
Soybeans,Louisiana,Million dollars,2012,418.021
Soybeans,Louisiana,Million dollars,2013,374.7368
Soybeans,Louisiana,Million dollars,2014,499.7722
Soybeans,Louisiana,Million dollars,2015,355.1718
Soybeans,Louisiana,Million dollars,2016,313.2425
Soybeans,Louisiana,Million dollars,2017,356.2977
Soybeans,Louisiana,Million dollars,2018,242.3415
Soybeans,Louisiana,Million dollars,2019,203.6061
Soybeans,Louisiana,Million dollars,2020,344.1703
Soybeans,Louisiana,Million dollars,2022,392.6357
Soybeans,Louisiana,Million dollars,2023,286.8673
Soybeans,Louisiana,Million dollars,2021,377.509
Soybeans,Maine,Million dollars,2000,0
Soybeans,Maine,Million dollars,2001,0
Soybeans,Maine,Million dollars,2002,0
Soybeans,Maine,Million dollars,2003,0
Soybeans,Maine,Million dollars,2004,0
Soybeans,Maine,Million dollars,2005,0
Soybeans,Maine,Million dollars,2006,0
Soybeans,Maine,Million dollars,2007,0
Soybeans,Maine,Million dollars,2008,0
Soybeans,Maine,Million dollars,2009,0
Soybeans,Maine,Million dollars,2010,0
Soybeans,Maine,Million dollars,2011,0
Soybeans,Maine,Million dollars,2012,0
Soybeans,Maine,Million dollars,2013,0
Soybeans,Maine,Million dollars,2014,0
Soybeans,Maine,Million dollars,2015,0
Soybeans,Maine,Million dollars,2016,0
Soybeans,Maine,Million dollars,2017,0
Soybeans,Maine,Million dollars,2018,0
Soybeans,Maine,Million dollars,2019,0
Soybeans,Maine,Million dollars,2020,0
Soybeans,Maine,Million dollars,2022,0
Soybeans,Maine,Million dollars,2023,0
Soybeans,Maine,Million dollars,2021,0
Soybeans,Maryland,Million dollars,2000,37.2599
Soybeans,Maryland,Million dollars,2001,37.1219
Soybeans,Maryland,Million dollars,2002,25.4676
Soybeans,Maryland,Million dollars,2003,38.8724
Soybeans,Maryland,Million dollars,2004,44.9857
Soybeans,Maryland,Million dollars,2005,31.8237
Soybeans,Maryland,Million dollars,2006,34.6228
Soybeans,Maryland,Million dollars,2007,41.7699
Soybeans,Maryland,Million dollars,2008,65.1076
Soybeans,Maryland,Million dollars,2009,85.8286
